99.45911564625851,14,"{'transitiontime': 1, 'hue': 86, 'bri': 0, 'sat': 141}",beat,Unmodified
99.67634252539914,7,"{'transitiontime': 10, 'hue': 27002, 'bri': 0, 'sat': 255}",high,Unmodified
99.88868480725624,15,"{'transitiontime': 1, 'hue': 87, 'bri': 178, 'sat': 200}",beat,Unmodified
100.9767779390421,12,"{'transitiontime': 18, 'hue': 32402, 'bri': 229, 'sat': 255}",low,Safe
102.55587808417997,12,"{'transitiontime': 9, 'hue': 27003, 'bri': 0, 'sat': 255}",high,Unmodified
103.31362811791384,8,"{'transitiontime': 1, 'hue': 96, 'bri': 188, 'sat': 238}",beat,Unmodified
103.76052249637155,7,"{'transitiontime': 18, 'hue': 32403, 'bri': 229, 'sat': 255}",low,Unmodified
104.16115646258504,8,"{'transitiontime': 1, 'hue': 88, 'bri': 184, 'sat': 231}",beat,Unmodified
104.53846153846153,"[8, 10, 11, 12, 14, 15]","{'transitiontime': 39, 'hue': 13526, 'bri': 154, 'sat': 255}",arc,Safe
106.32061224489796,15,"{'transitiontime': 1, 'hue': 89, 'bri': 4, 'sat': 176}",beat,Unmodified
106.75018140589569,8,"{'transitiontime': 1, 'hue': 108, 'bri': 201, 'sat': 155}",beat,Unmodified
107.30188679245283,15,"{'transitiontime': 90, 'hue': 32403, 'bri': 229, 'sat': 255}",low,Safe
108.47605224963715,"[7, 8, 10, 11, 12, 14]","{'transitiontime': 92, 'hue': 7483, 'bri': 174, 'sat': 255}",arc,Unmodified
110.16351473922903,7,"{'transitiontime': 1, 'hue': 89, 'bri': 183, 'sat': 199}",beat,Unmodified
110.60469387755103,12,"{'transitiontime': 1, 'hue': 107, 'bri': 19, 'sat': 171}",beat,Unmodified
111.03426303854876,12,"{'transitiontime': 1, 'hue': 92, 'bri': 182, 'sat': 206}",beat,Unmodified
111.47544217687076,12,"{'transitiontime': 1, 'hue': 101, 'bri': 13, 'sat': 166}",beat,Unmodified
112.75253968253969,12,"{'transitiontime': 1, 'hue': 98, 'bri': 192, 'sat': 189}",beat,Unmodified
113.18210884353742,7,"{'transitiontime': 1, 'hue': 105, 'bri': 16, 'sat': 220}",beat,Unmodified
113.61167800453515,12,"{'transitiontime': 1, 'hue': 130, 'bri': 219, 'sat': 169}",beat,Unmodified
114.05285714285715,7,"{'transitiontime': 1, 'hue': 94, 'bri': 6, 'sat': 201}",beat,Unmodified
114.8809869375907,15,"{'transitiontime': 6, 'hue': 27004, 'bri': 0, 'sat': 255}",high,Unmodified
115.65166908563135,8,"{'transitiontime': 38, 'hue': 32404, 'bri': 229, 'sat': 255}",low,Unmodified
116.20070294784581,12,"{'transitiontime': 1, 'hue': 95, 'bri': 187, 'sat': 201}",beat,Unmodified
116.61866213151927,7,"{'transitiontime': 1, 'hue': 107, 'bri': 14, 'sat': 245}",beat,Unmodified
117.04823129251702,7,"{'transitiontime': 1, 'hue': 92, 'bri': 184, 'sat': 221}",beat,Unmodified
117.71407837445574,"[7, 10, 11, 12, 14, 15]","{'transitiontime': 33, 'hue': 7993, 'bri': 174, 'sat': 255}",arc,Unmodified
118.83018867924528,8,"{'transitiontime': 29, 'hue': 27004, 'bri': 0, 'sat': 255}",high,Unmodified
119.18446712018141,8,"{'transitiontime': 1, 'hue': 95, 'bri': 2, 'sat': 139}",beat,Unmodified
119.61403628117914,8,"{'transitiontime': 1, 'hue': 93, 'bri': 184, 'sat': 224}",beat,Unmodified
120.04360544217687,14,"{'transitiontime': 1, 'hue': 92, 'bri': 0, 'sat': 253}",beat,Unmodified
